week_start_date,ward,organism,antibiotic,susceptibility_percent,total_tested
2020-01-01,ICU,Pseudomonas aeruginosa,Meropenem,66.34,18
2020-01-08,ICU,Pseudomonas aeruginosa,Meropenem,87.47,6
2020-01-15,ICU,Pseudomonas aeruginosa,Meropenem,65.18,18
2020-01-22,ICU,Pseudomonas aeruginosa,Meropenem,68.29,18
2020-01-29,ICU,Pseudomonas aeruginosa,Meropenem,61.38,10
2020-02-05,ICU,Pseudomonas aeruginosa,Meropenem,80.34,10
2020-02-12,ICU,Pseudomonas aeruginosa,Meropenem,74.26,10
2020-02-19,ICU,Pseudomonas aeruginosa,Meropenem,74.08,15
2020-02-26,ICU,Pseudomonas aeruginosa,Meropenem,75.02,14
2020-03-04,ICU,Pseudomonas aeruginosa,Meropenem,87.83,18
2020-03-11,ICU,Pseudomonas aeruginosa,Meropenem,76.17,17
2020-03-18,ICU,Pseudomonas aeruginosa,Meropenem,59.31,19
2020-03-25,ICU,Pseudomonas aeruginosa,Meropenem,73.82,18
2020-04-01,ICU,Pseudomonas aeruginosa,Meropenem,78.32,10
2020-04-08,ICU,Pseudomonas aeruginosa,Meropenem,81.56,20
2020-04-15,ICU,Pseudomonas aeruginosa,Meropenem,79.58,11
2020-04-22,ICU,Pseudomonas aeruginosa,Meropenem,81.09,14
2020-04-29,ICU,Pseudomonas aeruginosa,Meropenem,73.49,10
2020-05-06,ICU,Pseudomonas aeruginosa,Meropenem,84.96,5
2020-05-13,ICU,Pseudomonas aeruginosa,Meropenem,73.5,9
2020-05-20,ICU,Pseudomonas aeruginosa,Meropenem,82.76,12
2020-05-27,ICU,Pseudomonas aeruginosa,Meropenem,77.18,21
2020-06-03,ICU,Pseudomonas aeruginosa,Meropenem,70.17,11
2020-06-10,ICU,Pseudomonas aeruginosa,Meropenem,73.73,22
2020-06-17,ICU,Pseudomonas aeruginosa,Meropenem,73.05,12
2020-06-24,ICU,Pseudomonas aeruginosa,Meropenem,72.44,12
2020-07-01,ICU,Pseudomonas aeruginosa,Meropenem,65.74,12
2020-07-08,ICU,Pseudomonas aeruginosa,Meropenem,79.34,6
2020-07-15,ICU,Pseudomonas aeruginosa,Meropenem,78.34,14
2020-07-22,ICU,Pseudomonas aeruginosa,Meropenem,58.11,9
2020-07-29,ICU,Pseudomonas aeruginosa,Meropenem,74.22,11
2020-08-05,ICU,Pseudomonas aeruginosa,Meropenem,66.74,13
2020-08-12,ICU,Pseudomonas aeruginosa,Meropenem,65.24,20
2020-08-19,ICU,Pseudomonas aeruginosa,Meropenem,72.39,11
2020-08-26,ICU,Pseudomonas aeruginosa,Meropenem,61.49,8
2020-09-02,ICU,Pseudomonas aeruginosa,Meropenem,69.45,9
2020-09-09,ICU,Pseudomonas aeruginosa,Meropenem,71.85,16
2020-09-16,ICU,Pseudomonas aeruginosa,Meropenem,70.29,11
2020-09-23,ICU,Pseudomonas aeruginosa,Meropenem,76.23,23
2020-09-30,ICU,Pseudomonas aeruginosa,Meropenem,68.17,21
2020-10-07,ICU,Pseudomonas aeruginosa,Meropenem,87.74,23
2020-10-14,ICU,Pseudomonas aeruginosa,Meropenem,64.26,15
2020-10-21,ICU,Pseudomonas aeruginosa,Meropenem,75.24,11
2020-10-28,ICU,Pseudomonas aeruginosa,Meropenem,73.5,22
2020-11-04,ICU,Pseudomonas aeruginosa,Meropenem,74.58,7
